"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","Total Usage"
"MERCED","Total","    3185.454578","    3036.238461","    3234.181623","    3697.377996","    3553.779551","    3967.441915","    3462.860278","    2920.853703","    3020.188583","    3057.123262","    3306.108818","    3658.157946","    3398.214604","    2744.319779","    2725.696523","    3668.528878","    2809.112306","    2897.168232","    3083.677210","    2858.389586","    2951.854052","    2805.918304","    2883.323045","   72925.969233"
"MODOC","Non-Residential","     110.584514","     119.312197","     106.672053","      87.000623","      91.472318","      93.159013","      95.287159","     110.470968","     114.415673","     108.004704","     106.447391","      87.876623","      93.743419","      97.685655","      97.823177","      87.753975","     101.258056","      95.925456","      95.225146","     112.642497","     106.295988","     108.410231","     109.576587","    2337.043423"
"MODOC","Residential","      62.919794","      61.300614","      58.666739","      58.243840","      57.513603","      59.660008","      56.818476","      54.208798","      53.527101","      61.104554","      57.507254","      61.391240","      60.300510","      61.354571","      63.026113","      58.710808","      59.044041","      57.577305","      56.453333","      56.767659","      55.363948","      53.733110","      55.575865","    1340.769284"
"MODOC","Total","     173.504307","     180.612810","     165.338792","     145.244463","     148.985921","     152.819021","     152.105635","     164.679766","     167.942774","     169.109259","     163.954645","     149.267863","     154.043929","     159.040226","     160.849290","     146.464782","     160.302097","     153.502761","     151.678479","     169.410156","     161.659936","     162.143341","     165.152453","    3677.812706"
"MONO","Non-Residential","     117.269990","     114.678766","     107.768973","     112.588553","     112.176868","     109.001191","     104.624595","     109.696142","     103.895052","     105.540010","     103.220056","     109.129202","     106.848820","     108.674519","     107.158338","      87.818503","      91.089757","     100.751826","     102.595539","      75.240664","      59.018998","      50.321903","      54.999755","    2254.108020"
"MONO","Residential","      96.113933","      92.060521","      92.276859","      99.033023","      84.844592","      90.485322","      84.855346","      78.964069","      87.711881","      98.897934","      93.738901","      95.721156","      94.320231","      91.006327","      92.553427","      97.771754","      83.820818","      94.848178","      92.487274","      88.218127","      86.704363","      86.207591","      91.895434","    2094.537061"
"MONO","Total","     213.383923","     206.739287","     200.045832","     211.621577","     197.021459","     199.486513","     189.479941","     188.660211","     191.606934","     204.437944","     196.958957","     204.850358","     201.169051","     199.680846","     199.711765","     185.590257","     174.910575","     195.600004","     195.082813","     163.458791","     145.723362","     136.529493","     146.895189","    4348.645082"
"MONTEREY","Non-Residential","    1778.482687","    1760.551822","    1683.023019","    1784.308597","    1798.161984","    1875.887714","    1873.675027","    1971.611817","    1918.829812","    1902.683408","    1819.768497","    1834.440443","    1830.785466","    1865.419982","    1885.255310","    1840.516042","    1827.700445","    1837.972842","    1894.047405","    1888.816809","    1873.321511","    1812.776267","    1781.465014","   42339.501920"
"MONTEREY","Residential","     711.986059","     720.396773","     729.719862","     686.923914","     680.435542","     682.317389","     685.770435","     681.236918","     684.526972","     722.505470","     728.632978","     732.822358","     734.004507","     731.086433","     731.151297","     741.557983","     728.509929","     715.501065","     724.956775","     707.442229","     693.572888","     684.045494","     720.999155","   16360.102425"
"MONTEREY","Total","    2490.468746","    2480.948594","    2412.742881","    2471.232510","    2478.597525","    2558.205103","    2559.445462","    2652.848734","    2603.356783","    2625.188878","    2548.401475","    2567.262801","    2564.789973","    2596.506415","    2616.406607","    2582.074024","    2556.210373","    2553.473907","    2619.004180","    2596.259037","    2566.894399","    2496.821761","    2502.464169","   58699.604337"
